transactionID,orderID,userID,date_of_transaction,amount,transaction_status,payment_name
1,1,1,2012-03-01,1340063,Failed,Credit Card
2,2,2,2021-12-01,,Failed,Debit Card
3,3,3,2020-12-16,3372378,,PayPal
4,4,4,2012-07-13,9223659,Failed,Cash
5,5,5,2010-02-05,4418177,Success,Bank Transfer
6,6,6,2021-03-03,3204517,,Cryptocurrency
7,7,7,2020-02-27,7091225,Failed,Venmo
8,8,8,2022-05-19,,Success,Apple Pay
9,9,9,2019-01-27,4402858,Failed,Google Pay
10,10,10,2019-05-21,1447273,Success,Cash App
11,11,11,2022-02-16,,Success,Stripe
12,12,12,2014-09-30,8307310,Failed,Square
13,13,13,2012-09-07,7398789,Failed,Visa
14,14,14,2019-06-20,5601122,Failed,MasterCard
15,15,15,2019-04-15,8924251,Success,American Express
16,16,16,2010-01-21,3484521,Failed,Discover
17,17,17,2016-02-21,6765527,Failed,Diners Club
18,18,18,2019-04-13,,Success,JCB
19,19,19,2016-04-24,,Failed,Direct Debit
20,20,20,2019-06-25,,Success,ACH Transfer
21,21,21,2014-04-10,,Success,Wire Transfer
22,22,22,2018-05-21,4725665,Failed,Money Order
23,23,23,2016-09-15,,,Cheque
24,24,24,2023-07-14,4201013,Failed,Mobile Wallet
25,25,25,2021-10-02,6007448,Success,Alipay
26,26,26,2019-05-11,4702837,Success,WeChat Pay
27,27,27,2011-06-12,,Success,Samsung Pay
28,28,28,2016-12-04,,Success,Contactless Payment
29,29,29,2013-01-29,,Success,Amazon Pay
30,30,30,2016-08-28,,Success,Credit Card
31,31,31,2017-05-18,,,Debit Card
32,32,32,2015-10-13,,Success,PayPal
33,33,33,2021-10-28,172205,Success,Cash
34,34,34,2020-06-07,5562327,Success,Bank Transfer
35,35,35,2012-04-22,655123,Failed,Cryptocurrency
36,36,36,2018-05-22,,Success,Venmo
37,37,37,2021-09-25,,,Apple Pay
38,38,38,2015-12-25,,Failed,Google Pay
39,39,39,2013-11-24,,Failed,Cash App
40,40,40,2017-09-13,9563972,Success,Stripe
41,41,41,2012-09-23,1882201,Success,Square
42,42,42,2020-03-16,,Success,Visa
43,43,43,2023-06-12,1263653,Success,MasterCard
44,44,44,2018-05-28,8791692,Success,American Express
45,45,45,2010-09-23,4070252,Failed,Discover
46,46,46,2022-11-27,,Success,Diners Club
47,47,47,2015-04-22,,Failed,JCB
48,48,48,2017-02-15,3345251,Success,Direct Debit
49,49,49,2011-01-07,,,ACH Transfer
50,50,50,2015-06-04,,Failed,Wire Transfer
51,51,51,2021-03-11,8642198,Success,Money Order
52,52,52,2011-04-02,,Failed,Cheque
53,53,53,2023-11-13,721264,Failed,Mobile Wallet
54,54,54,2023-01-21,,Failed,Alipay
55,55,55,2014-05-21,7024374,Success,WeChat Pay
56,56,56,2012-09-21,,Failed,Samsung Pay
57,57,57,2013-11-10,8496269,Failed,Contactless Payment
58,58,58,2021-04-09,7180427,,Amazon Pay
59,59,59,2016-03-01,,Failed,Credit Card
60,60,60,2021-03-28,3988124,,Debit Card
61,61,61,2013-08-19,6671610,Success,PayPal
62,62,62,2017-08-28,,Failed,Cash
63,63,63,2010-01-14,1682773,Success,Bank Transfer
64,64,64,2022-04-14,82844,Failed,Cryptocurrency
65,65,65,2021-08-17,,Failed,Venmo
66,66,66,2023-12-24,362061,,Apple Pay
67,67,67,2020-01-31,7697621,Success,Google Pay
68,68,68,2018-02-10,,Success,Cash App
69,69,69,2016-03-28,,Failed,Stripe
70,70,70,2022-11-18,475692,Failed,Square
71,71,71,2019-06-11,7470060,Failed,Visa
72,72,72,2021-06-30,7904862,,MasterCard
73,73,73,2017-04-09,,Failed,American Express
74,74,74,2011-04-17,,,Discover
75,75,75,2023-11-20,,Failed,Diners Club
76,76,76,2016-06-30,511800,,JCB
77,77,77,2019-03-08,5685964,Success,Direct Debit
78,78,78,2023-05-22,4066229,Failed,ACH Transfer
79,79,79,2019-04-07,3682297,Failed,Wire Transfer
80,80,80,2023-10-01,6318783,Failed,Money Order
81,81,81,2013-05-30,3582977,Success,Cheque
82,82,82,2013-02-07,558733,Success,Mobile Wallet
83,83,83,2011-09-10,1062584,Failed,Alipay
84,84,84,2016-08-27,,Failed,WeChat Pay
85,85,85,2010-06-29,,Failed,Samsung Pay
86,86,86,2010-11-19,3652511,Failed,Contactless Payment
87,87,87,2015-06-05,3446847,,Amazon Pay
88,88,88,2016-02-25,154625,,Credit Card
89,89,89,2023-01-14,4881711,,Debit Card
90,90,90,2023-02-20,,Failed,PayPal
91,91,91,2011-05-17,,Failed,Cash
92,92,92,2012-12-07,1116287,Success,Bank Transfer
93,93,93,2016-02-15,2381617,Success,Cryptocurrency
94,94,94,2010-11-19,3690181,,Venmo
95,95,95,2011-12-01,,Failed,Apple Pay
96,96,96,2012-01-29,422461,Success,Google Pay
97,97,97,2014-12-09,,Failed,Cash App
98,98,98,2014-04-03,5702775,Failed,Stripe
99,99,99,2023-09-03,,,Square
100,100,100,2020-06-18,,Success,Visa
101,1,1,2014-09-28,6498938,Success,MasterCard
102,2,2,2017-06-13,,Failed,American Express
103,3,3,2017-10-28,,,Discover
104,4,4,2022-07-25,1499504,Success,Diners Club
105,5,5,2017-07-19,,Failed,JCB
106,6,6,2013-06-05,,Success,Direct Debit
107,7,7,2018-12-10,,,ACH Transfer
108,8,8,2020-10-29,,,Wire Transfer
109,9,9,2013-05-22,9493179,Failed,Money Order
110,10,10,2014-02-06,5502511,,Cheque
111,11,11,2010-04-16,,,Mobile Wallet
112,12,12,2013-02-24,2265345,Failed,Alipay
113,13,13,2018-12-25,8097639,,WeChat Pay
114,14,14,2012-05-17,,Success,Samsung Pay
115,15,15,2012-03-14,,,Contactless Payment
116,16,16,2017-01-21,6167634,,Amazon Pay
117,17,17,2017-03-18,4691539,Failed,Credit Card
118,18,18,2012-06-16,,Success,Debit Card
119,19,19,2020-11-04,3657821,,PayPal
120,20,20,2017-01-03,770399,Success,Cash
121,21,21,2019-10-03,3939195,Failed,Bank Transfer
122,22,22,2015-03-12,6405322,,Cryptocurrency
123,23,23,2014-04-19,6130598,Success,Venmo
124,24,24,2019-07-05,,Success,Apple Pay
125,25,25,2016-01-01,3236885,,Google Pay
126,26,26,2012-02-14,8791741,Failed,Cash App
127,27,27,2014-10-18,7118510,Failed,Stripe
128,28,28,2012-01-19,6595017,Failed,Square
129,29,29,2012-03-25,7255164,Failed,Visa
130,30,30,2017-07-03,7607864,Success,MasterCard
131,31,31,2012-03-09,,Success,American Express
132,32,32,2023-11-03,,Failed,Discover
